Input,Analysis,Overall Valence,Overall Arousal
He feels a little disappointed to say the least. The wheel is unfairly sectioned to only be able to win the smallest amount 50% of the time. He thinks it sucks.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
Not great; there was close to a 50% chance of winning a higher amount; but at least he still won a little.,"{'great': [3.3, 3.3, ['not great'], 1]}",3.3,3.3
Disappointed that he didn't get $70 or $80.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Disappointed he didn't win more. He wished he had hit the $80,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
david is happy.\ndavid is excited.\nhe wishes it was $80 or $70.,"{'fortunate': [7.09, 5.16, ['wishes'], 1]}",7.09,5.16
sad because he won the lowest amount.,"{'sad': [1.61, 4.13, ['sad'], 1]}",1.61,4.13
Tom feels disappointed.   He'd rather have won the 70 or $80 prize.   $15 still better than nothing for him though.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Alex probably felt a little disappointed.  He technically had a more than 50% chance of winning a much greater amount of money.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",3.39,5.92
I think he would be a little upset with the amount he won.  But he should of saw going into it that $15 was the biggest and probably would be landed on the most.  He at least got some money.,"{'sad': [3.0, 6.86, ['a little upset'], 1]}",3.0,6.86
Kindof disappointed. He won a little bit; which is good; but far less than he could have.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",4.93,5.43
Disappointed; but not surprised.  He got the lowest prize but that had nearly the same odds as the two higher prizes combined.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'surprised': [3.61, 3.61, ['not surprised'], 1]}",3.0,4.92
He feels content because he now has $15 but not as happy as he would've if it was the $80.,"{'content': [7.06, 4.7, ['content'], 1], 'happy': [3.39, 1.67, ['not happy'], 1]}",5.23,4.7
Mike is probably happy to have more money than he started with but disappointed he didn't win more.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.31,6.49
He would feel a bit disappointed cause he could of won a bigger prize.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Chris is probably disappointed at only winning $15.  Although it wasn't the best outcome; Chris knew this was the most probable result.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
A little disappointed for not winning a larger amount; yet still glad to have won.,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",5.24,5.92
Josh is probably a little upset that he didn't earn one of the two higher prizes. However; he still made at least a little bit of money and therefore doesn't feel too upset.,"{'sad': [3.63, 7.49, ['a little upset', 'not very upset'], 2]}",3.63,8.11
I think Jacob feels dismayed to see that although he held the highest chance of winning a higher amount of money; the pointer landed within the smallest portion of the wheel. He probably feels only a bit unlucky.,"{'unfortunate': [2.0, 4.0, ['unlucky'], 1]}",2.0,4.0
He is not very satisfied because he was hopping to win the bigger draw,"{'content': [4.47, 1.47, ['not very satisfied'], 1]}",4.47,1.468
He is bummed out that he did not win more. He is disappointed. ,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'sad': [2.39, 4.78, ['bummed'], 1]}",2.39,4.92
Josh could not be more displeased. He got 15 bucks after having above a 50% chance of getting at least 70!,"{'unhappy': [5.02, 7.87, ['not displeased'], 1]}",5.02,7.8629999999999995
Frank is okay with winning $15.  He knew that it would probably land there anyways (because it's the bigger part of the wheel).  Even though the other two prizes were slightly larger than half; he wasn't expecting to land in that portion.,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
Not happy; but not surprised. So close to winning the big money,"{'surprised': [3.61, 3.61, ['not surprised'], 1], 'happy': [3.39, 1.67, ['not happy'], 1]}",3.5,3.609
Angry for being right on the line for $70,"{'angry': [2.85, 7.17, ['angry'], 1]}",2.85,7.17
He is probably ecstatic; he is only $10 away from the max you can win. He also won free money; so how can you be angry?,"{'angry': [2.85, 7.17, ['angry'], 1], 'excited': [8.66, 6.92, ['ecstatic'], 1]}",5.76,7.17
He felt great because he can now pay his Cable TV bill this month!,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
I think he would be very happy with $70.00.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
david is happy.\ndavid is excited.\nhe wishes it was $80; but glad it's not $15,"{'fortunate': [7.09, 5.16, ['wishes', 'glad'], 2]}",7.09,5.16
He felt very excited given the probability was 50% that he would win only $15,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
Chris is excited and happy that he won $70. He feels that he beat the odds.,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.86,7.67
Pretty happy; he won the second highest prize and it's close to the maximum.,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
David feels lucky that he landed on the second largest prize. David thought for sure the odds were against him.,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
excellent,"{'great': [9.0, 6.0, ['excellent'], 1]}",9.0,6.0
He is probably very satisfied with his spin. The chance of winning $70 was much smaller than the chance of him winning $15.,"{'content': [8.95, 5.94, ['very satisfied'], 1]}",8.95,5.94
He is very excited because he won the middle amount and it is very close to the top amount he could win.  There is no disappointment because the middle amount is so much larger than the lowest and it is almost as much as the highest,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
Jacob is quite happy.   He avoided the low $15 winner and is very thankful for the $70 prize.,"{'happy': [8.06, 5.92, ['happy', 'very thankful'], 2]}",8.06,6.49
Feels good. ,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Bob is happy that he won. The odds were against him winning that much; but his spin overcame those odds. He would have been happiest with $80; but he is satisfied with $70.,"{'content': [7.94, 4.95, ['satisfied'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.08,6.49
Charlie feels relief that he won the $70.  With a 50% chance of landing on the $15; he was a little nervous that it might land there.  He takes his winnings with a smile.,"{'nervous': [4.29, 7.59, ['a little nervous'], 1], 'fortunate': [7.09, 5.16, ['relief'], 1]}",5.69,7.59
Frank is very happy with winning $70.  The odds were against him for winning that much; anyways.  I'm sure he would have enjoyed winning $80 instead; but it's not that much more money.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Excited and happy,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.86,7.67
yeah i won 70 bucks,{},0,0
Tom feels good did not win the highest amount but chance had him winning only $15.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Happy.  There was a fifty-fifty chance of getting a much lower amount; and the difference between the high and middle amount wasn't much so he'd be happy with the result overall.,"{'happy': [8.22, 6.49, ['happy'], 2]}",8.22,6.49
I'm sure he feels pretty good.  It wasn't the highest amount available; but it's better than winning $15.  It's a solid win.,"{'happy': [6.47, 4.43, ['a little good'], 1]}",6.47,4.43
Charlie is probably very happy.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
He probably feels about as happy as he would be if he had one $80. ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He is quite happy since the odds were significantly against him. He had a 50% chance of only making $15.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Lucky that it wasn't much lower. Happy.,"{'happy': [8.22, 6.49, ['happy'], 1], 'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.2,6.53
Jake is surprised. He thought he was going to win $15,"{'surprised': [7.47, 7.47, ['surprised'], 1]}",7.47,7.47
Alex feels happy; since he thought he might only win 15 dollars!,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Happy that he won the highest amount.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
George will be very happy because he just won the highest prize.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
I think mike is over joyed! he just won the biggest prize of 80$.,{},0,0
Very Excited! He won the highest amount possible.,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
Jacob feels very happy and excite. He is also relieved; because he knows the odds were against him. ,"{'fortunate': [7.09, 5.16, ['relieved'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.15,7.49
He was feeling lucky; because he got the highest award. The highest award was hardest to get. He felt special; beating the odds.,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
Bob should feel great. He won the most he could. He even bested the odds since that piece is smallest and thus has the smallest chance of having it land there.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
Chris must feel amazing after his win of $80. It is the smallest section of the wheel and it is worth the most amount of money. He couldn't hope for a better outcome. ,"{'great': [9.0, 6.0, ['amazing'], 1], 'inspired': [3.74, 2.13, ['not hope'], 1]}",6.37,6.0
Excited and pumped that he won the highest amount possible. ,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
Super pumped he hit the highest,"{'great': [9.0, 6.0, ['super'], 1]}",9.0,6.0
wow.......i am exited,{},0,0
He is happy that he hit the highest dollar amount on the wheel; and glad he didn't hit the largest slice for $15.,"{'fortunate': [7.09, 5.16, ['glad'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.65,6.49
Chris received the highest amount; so he is very happy. He also feels lucky because the odds were against him to win that amount. It was more likely for him to receive $15; so he is thankful.,"{'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [8.06, 5.92, ['very happy', 'thankful'], 2]}",8.1,7.49
I think David would be happy because he won the biggest amount he could of won.  He may also be surprised that he won that because it is a smaller part of the wheel.,"{'surprised': [7.47, 7.47, ['surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.84,7.47
Tom is ecstatic; he won the maximum amount possible of $80 and he only had about a quarter chance of landing on that amount.,"{'excited': [8.66, 6.92, ['ecstatic'], 1]}",8.66,6.92
happy and glad hes on a winning streak,"{'fortunate': [7.09, 5.16, ['glad'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.65,6.49
Bingo!  Jacob is feeling happy as he won the highest amount possible.  He had the smallest chance of getting that prize so he's feeling very blessed and hopes that the winning streak can continue!,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He feels exceptionally great about winning this amount!,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
ecstatic about winning the highest amount,"{'excited': [8.66, 6.92, ['ecstatic'], 1]}",8.66,6.92
He's shocked. He's happy. This was more than he was expecting.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Eric feels very happy because there was a large chance he'd get $15 which is very little but he won 80 instead,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
He probably feels that he was unlucky. But he probably thinks that there was a good chance of the wheel landing on $20 anyways.,"{'unfortunate': [2.0, 4.0, ['unlucky'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",4.74,5.43
Disappointed,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
He feels some disappointment.,{},0,0
Eric will feel slightly robbed because he missed the largest prize by such a small amount. But still is happy to have won anything.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Jake is disappointed to win the largest amount of money; although he is not very surprised because his chances of winning 70 were slim.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'surprised': [4.61, 4.61, ['not very surprised'], 1]}",3.5,4.92
Tom will take his 20$ and be happy 70$ would have been nicer though.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Charlie probably felt just okay about winning the $20. But better than nothing!,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
James just pocketed a twenty dollar bill.  That's twenty more than he had when he spun the wheel; and he's feeling great!,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
He's not terribly excited; but he figured it would end on $20 because of the size of the section.,"{'excited': [3.6, 3.77, ['not excited'], 1]}",3.6,3.7699999999999996
Scott feels sad that he didn't at least win the $45.  He knew that winning the $70 was a long shot.  But he had felt confident that he'd have a pretty good chance at getting the $45.,"{'confident': [7.98, 6.22, ['confident'], 1], 'happy': [6.47, 4.43, ['a little good'], 1], 'sad': [1.61, 4.13, ['sad'], 1]}",5.36,6.22
Not surprising; but maybe disappointing because it's the lowest amount of money. It's not surprising though because that had the highest odds.,"{'disappointed': [2.39, 4.92, ['disappointing'], 1], 'surprised': [3.61, 3.61, ['not surprising'], 2]}",3.21,4.92
He's not surprised. He saw that the wheel appears to be rigged now. He wasn't expecting more.,"{'surprised': [3.61, 3.61, ['not surprised'], 1]}",3.61,3.609
bad,"{'unfortunate': [2.0, 4.0, ['bad'], 1]}",2.0,4.0
mad because it was so close to being 70$. let down that he didnt win more,"{'angry': [2.44, 6.76, ['mad'], 1], 'sad': [2.13, 5.07, ['down'], 1]}",2.29,6.76
Probably he expected this to happen but is also disappointed he didn't win more. But he probably is happy to have an extra 20 dollars regardless.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.31,6.49
Disappointed he didn't win more.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Mike is indifferent about his winnings. He is happy to have $20 he did not have before; but he feels as though he has a pretty good chance at $45 and would of course rather have won that amount.,"{'indifferent': [4.62, 3.18, ['indifferent'], 1], 'happy': [7.34, 5.46, ['happy', 'a little good'], 2]}",6.43,6.49
Pretty frustrated but a little happy he won something.,"{'annoying': [3.48, 6.61, ['a little frustrated'], 1], 'happy': [7.22, 5.49, ['a little happy'], 1]}",5.35,6.61
Happy yet disappointed. Because $20 is the lowest amount; but at least he won something.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.31,6.49
He predicted he would win this amount; so he is not surprised,"{'surprised': [3.61, 3.61, ['not surprised'], 1]}",3.61,3.609
he his happy that he won the middle amount but sad he didn't win the highest,"{'sad': [1.61, 4.13, ['sad'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",4.91,6.49
